school_id,limits,length,inches
1,dresses,top of the kneecap,
1,skirts,top of the kneecap,
1,shorts,top of the kneecap,
2,dresses,shorter than x inches from knee,3
2,skirts,shorter than x inches from knee,3
2,shorts,shorter than x inch inseam,5
3,skirts,shorter than fingertips,
3,shorts,shorter than fingertips,
4,dresses,shorter than the knee,
4,skirts,shorter than the knee,
4,shorts,shorter than the knee,
5,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
6,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
6,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
7,dresses,shorter than x inches from knee,6
7,skirts,shorter than x inches from knee,6
7,shorts,shorter than x inches from knee,6
8,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
8,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
9,shorts,shorter than x inches from knee,3
10,dresses,"""short""/""inappropriate length"" (no exact measurement given)",
10,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
11,pants,shorter than mid-thigh,
11,skirts,shorter than mid-thigh,
11,shorts,shorter than mid-thigh,
13,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
13,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
16,dresses,shorter than x inches from knee,4
16,skirts,shorter than x inches from knee,4
16,shorts,shorter than x inches from knee,4
17,dresses,shorter than fingertips,
17,skirts,shorter than fingertips,
17,shorts,shorter than fingertips,
19,skirts,shorter than fingertips,
19,shorts,shorter than fingertips,
21,shorts,shorter than mid-thigh,
22,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
23,dresses,"""short""/""inappropriate length"" (no exact measurement given)",
23,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
24,dresses,shorter than mid-thigh,
24,skirts,shorter than mid-thigh,
24,shorts,shorter than mid-thigh,
25,skirts,shorter than fingertips,
25,shorts,shorter than fingertips,
26,dresses,shorter than x inches from knee,4
26,skirts,shorter than x inches from knee,4
26,shorts,shorter than x inch inseam,5
27,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
29,dresses,shorter than x inches from knee,3
29,skirts,shorter than x inches from knee,3
30,dresses,shorter than fingertips,
30,skirts,shorter than fingertips,
30,shorts,shorter than fingertips,
32,dresses,shorter than mid-thigh,
32,skirts,shorter than mid-thigh,
32,shorts,shorter than mid-thigh,
33,dresses,shorter than x inches from knee,6
33,skirts,shorter than x inches from knee,6
35,dresses,shorter than mid-thigh,
35,skirts,shorter than mid-thigh,
35,shorts,shorter than mid-thigh,
36,dresses,shorter than fingertips,
36,shorts,shorter than fingertips,
37,dresses,shorter than mid-thigh,
37,skirts,shorter than mid-thigh,
37,shorts,shorter than mid-thigh,
38,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
38,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
39,dresses,shorter than x inches from knee,5
39,skirts,shorter than x inches from knee,5
39,shorts,shorter than x inches from knee,5
41,skirts,shorter than fingertips,
41,shorts,shorter than fingertips,
42,skirts,shorter than fingertips,
42,shorts,shorter than fingertips,
44,dresses,shorter than fingertips,
44,skirts,shorter than fingertips,
44,shorts,shorter than fingertips,
45,shorts,shorter than fingertips,
46,dresses,"""short""/""inappropriate length"" (no exact measurement given)",
46,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
46,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
47,dresses,"""short""/""inappropriate length"" (no exact measurement given)",
47,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
47,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
48,skirts,shorter than x inches from knee,3
48,shorts,shorter than x inches from knee,4
49,dresses,shorter than the knee,
49,skirts,shorter than the knee,
49,shorts,shorter than x inches from knee,4
49,skorts,shorter than x inches from knee,4
51,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
52,dresses,shorter than fingertips,
52,skirts,shorter than fingertips,
