school_id,sanction,offense
30,attend Saturday school,3rd
88,attend Saturday school,2nd
96,attend Saturday school,2nd
121,attend Saturday school,3rd
203,attend Saturday school,Any
333,attend Saturday school,3rd
346,attend Saturday school,4th
357,attend Saturday school,3rd
369,attend Saturday school,Any
387,attend Saturday school,4th
412,attend Saturday school,Any
407,attend Saturday school,1st
407,attend Saturday school,3rd
278,campus community service,Any
0,change clothes,Any
6,change clothes,Any
9,change clothes,Any
11,change clothes,Any
12,change clothes,Any
13,change clothes,Any
14,change clothes,Any
15,change clothes,Any
16,change clothes,Any
18,change clothes,Any
19,change clothes,1st
23,change clothes,1st
23,change clothes,2nd
23,change clothes,3rd
23,change clothes,4th
24,change clothes,1st
24,change clothes,2nd
24,change clothes,3rd
28,change clothes,Any
29,change clothes,1st
32,change clothes,Any
33,change clothes,1st
36,change clothes,1st
36,change clothes,2nd
36,change clothes,3rd
36,change clothes,4th
37,change clothes,1st
38,change clothes,Any
39,change clothes,1st
39,change clothes,2nd
41,change clothes,Any
42,change clothes,Any
43,change clothes,1st
44,change clothes,1st
44,change clothes,2nd
44,change clothes,3rd
45,change clothes,Any
46,change clothes,Any
47,change clothes,Any
49,change clothes,Any
50,change clothes,Any
53,change clothes,Any
54,change clothes,Any
55,change clothes,Any
56,change clothes,Any
57,change clothes,1st
57,change clothes,2nd
57,change clothes,3rd
62,change clothes,Any
63,change clothes,Any
64,change clothes,Any
65,change clothes,Any
67,change clothes,Any
68,change clothes,Any
69,change clothes,Any
70,change clothes,Any
71,change clothes,Any
74,change clothes,Any
75,change clothes,Any
77,change clothes,Any
79,change clothes,Any
80,change clothes,Any
81,change clothes,1st
82,change clothes,Any
83,change clothes,Any
84,change clothes,Any
87,change clothes,Any
89,change clothes,Any
91,change clothes,Any
92,change clothes,Any
93,change clothes,Any
94,change clothes,Any
96,change clothes,Any
97,change clothes,1st
97,change clothes,2nd
98,change clothes,Any
99,change clothes,1st
99,change clothes,2nd
99,change clothes,3rd
100,change clothes,1st
100,change clothes,2nd
101,change clothes,Any
102,change clothes,Any
104,change clothes,Any
105,change clothes,Any
108,change clothes,Any
109,change clothes,Any
110,change clothes,Any
111,change clothes,Any
112,change clothes,Any
113,change clothes,Any
114,change clothes,Any
115,change clothes,1st
116,change clothes,Any
117,change clothes,Any
118,change clothes,Any
120,change clothes,Any
121,change clothes,Any
122,change clothes,Any
123,change clothes,Any
124,change clothes,Any
125,change clothes,Any
126,change clothes,Any
127,change clothes,1st
127,change clothes,2nd
127,change clothes,3rd
132,change clothes,Any
134,change clothes,Any
136,change clothes,Any
137,change clothes,Any
138,change clothes,Any
139,change clothes,Any
140,change clothes,Any
142,change clothes,Any
143,change clothes,1st
144,change clothes,Any
147,change clothes,1st
147,change clothes,2nd
148,change clothes,1st
148,change clothes,2nd
152,change clothes,Any
153,change clothes,1st
154,change clothes,Any
156,change clothes,Any
157,change clothes,Any
159,change clothes,Any
161,change clothes,Any
162,change clothes,4th
163,change clothes,4th
165,change clothes,Any
168,change clothes,Any
169,change clothes,Any
170,change clothes,Any
172,change clothes,Any
173,change clothes,1st
174,change clothes,1st
175,change clothes,Any
178,change clothes,Any
181,change clothes,Any
182,change clothes,Any
184,change clothes,Any
185,change clothes,Any
187,change clothes,Any
188,change clothes,Any
189,change clothes,Any
190,change clothes,Any
192,change clothes,Any
193,change clothes,Any
194,change clothes,Any
195,change clothes,Any
196,change clothes,Any
197,change clothes,Any
199,change clothes,Any
200,change clothes,Any
201,change clothes,Any
202,change clothes,Any
203,change clothes,Any
204,change clothes,Any
205,change clothes,Any
208,change clothes,Any
210,change clothes,Any
211,change clothes,Any
212,change clothes,Any
213,change clothes,Any
214,change clothes,Any
219,change clothes,Any
222,change clothes,Any
223,change clothes,Any
226,change clothes,Any
228,change clothes,1st
228,change clothes,3rd
228,change clothes,4th
230,change clothes,Any
233,change clothes,Any
235,change clothes,Any
236,change clothes,Any
237,change clothes,Any
238,change clothes,Any
239,change clothes,Any
242,change clothes,Any
243,change clothes,Any
244,change clothes,Any
245,change clothes,Any
248,change clothes,Any
249,change clothes,Any
250,change clothes,Any
251,change clothes,Any
252,change clothes,Any
257,change clothes,Any
258,change clothes,Any
259,change clothes,Any
260,change clothes,Any
261,change clothes,Any
262,change clothes,Any
265,change clothes,Any
266,change clothes,Any
267,change clothes,Any
269,change clothes,Any
273,change clothes,Any
274,change clothes,Any
278,change clothes,Any
279,change clothes,Any
280,change clothes,Any
281,change clothes,Any
284,change clothes,1st
284,change clothes,2nd
284,change clothes,3rd
284,change clothes,4th
284,change clothes,5th
284,change clothes,Any
287,change clothes,Any
288,change clothes,Any
289,change clothes,Any
290,change clothes,Any
291,change clothes,Any
292,change clothes,Any
293,change clothes,Any
294,change clothes,Any
295,change clothes,Any
296,change clothes,Any
297,change clothes,1st
297,change clothes,2nd
297,change clothes,3rd
297,change clothes,4th
297,change clothes,5th
298,change clothes,Any
299,change clothes,Any
300,change clothes,Any
301,change clothes,Any
302,change clothes,1st
305,change clothes,1st
306,change clothes,1st
308,change clothes,Any
309,change clothes,Any
310,change clothes,1st
311,change clothes,1st
312,change clothes,1st
313,change clothes,1st
314,change clothes,Any
315,change clothes,Any
316,change clothes,Any
319,change clothes,Any
322,change clothes,Any
324,change clothes,1st
326,change clothes,Any
327,change clothes,Any
328,change clothes,Any
330,change clothes,Any
331,change clothes,Any
332,change clothes,Any
333,change clothes,1st
333,change clothes,2nd
333,change clothes,3rd
334,change clothes,Any
336,change clothes,Any
337,change clothes,Any
338,change clothes,1st
339,change clothes,1st
341,change clothes,1st
344,change clothes,Any
480,change clothes,Any
479,change clothes,Any
478,change clothes,Any
474,change clothes,Any
472,change clothes,Any
345,change clothes,1st
345,change clothes,2nd
346,change clothes,1st
347,change clothes,Any
348,change clothes,Any
350,change clothes,Any
352,change clothes,Any
345,change clothes,1st
345,change clothes,2nd
349,change clothes,Any
353,change clothes,1st
358,change clothes,1st
361,change clothes,Any
363,change clothes,Any
364,change clothes,Any
366,change clothes,Any
367,change clothes,Any
368,change clothes,Any
374,change clothes,Any
375,change clothes,Any
377,change clothes,Any
378,change clothes,Any
379,change clothes,Any
381,change clothes,Any
383,change clothes,Any
388,change clothes,Any
390,change clothes,Any
391,change clothes,Any
392,change clothes,Any
393,change clothes,2nd
397,change clothes,Any
398,change clothes,Any
401,change clothes,Any
403,change clothes,Any
404,change clothes,Any
405,change clothes,Any
468,change clothes,Any
467,change clothes,Any
466,change clothes,Any
465,change clothes,Any
462,change clothes,1st
462,change clothes,2nd
461,change clothes,1st
459,change clothes,Any
458,change clothes,1st
458,change clothes,2nd
458,change clothes,3rd
457,change clothes,Any
456,change clothes,Any
455,change clothes,Any
453,change clothes,Any
452,change clothes,Any
451,change clothes,Any
449,change clothes,Any
448,change clothes,Any
447,change clothes,Any
446,change clothes,Any
445,change clothes,1st
445,change clothes,2nd
444,change clothes,Any
443,change clothes,Any
442,change clothes,Any
441,change clothes,Any
440,change clothes,Any
436,change clothes,Any
435,change clothes,1st
435,change clothes,2nd
435,change clothes,3rd
435,change clothes,4th
435,change clothes,5th
434,change clothes,Any
431,change clothes,Any
430,change clothes,Any
426,change clothes,Any
424,change clothes,Any
423,change clothes,Any
420,change clothes,Any
418,change clothes,Any
415,change clothes,1st
415,change clothes,2nd
414,change clothes,Any
0,cover offending items,Any
13,cover offending items,Any
17,cover offending items,Any
22,cover offending items,1st
28,cover offending items,Any
38,cover offending items,Any
42,cover offending items,Any
