index,schoolName,state,item,type,prohibited
0,RUSK H S,TX,pillows,accessories,none
1,RUSK H S,TX,stuffed animals,accessories,none
2,EAST HIGH,UT,dangling belts,accessories,none
3,TOMAHAWK HIGH,WI,wallet chains,accessories,none
4,TOMAHAWK HIGH,WI,backpacks,accessories,none
5,TOMAHAWK HIGH,WI,shoulder bags,accessories,none
6,TOMAHAWK HIGH,WI,athletic bags,accessories,none
7,TOMAHAWK HIGH,WI,purses,accessories,none
8,OOLOGAH-TALALA HS,OK,wallet chains,accessories,none
9,LA FERIA H S,TX,wallet chains,accessories,none
10,MOHONASEN SENIOR HIGH SCHOOL,NY,pins,accessories,none
11,TEAGUE H S,TX,pillows,accessories,none
12,NORTHGLENN HIGH SCHOOL,CO,arm bands,accessories,none
13,NORTHGLENN HIGH SCHOOL,CO,goggles,accessories,none
14,PARK VISTA COMMUNITY HIGH SCHOOL,FL,damaging to property,accessories,none
15,PARK VISTA COMMUNITY HIGH SCHOOL,FL,wallet chains,accessories,none
16,LATHROP HIGH,CA,belt buckles with initials,accessories,none
17,LATHROP HIGH,CA,belts hanging out of pants,accessories,none
18,LATHROP HIGH,CA,damaging to property,accessories,none
19,DEL MAR HIGH,CA,dangling belts,accessories,none
20,ANAMOSA HIGH SCHOOL,IA,backpacks,accessories,none
21,RIO RANCHO HIGH,NM,wallet chains,accessories,none
22,RIO RANCHO HIGH,NM,extended belts,accessories,none
23,BREMOND H S,TX,wallet chains,accessories,none
24,JULIAN HIGH,CA,wallet chains,accessories,none
25,LATHROP HIGH SCHOOL,AK,belt buckles with gang initials,accessories,none
26,LATHROP HIGH SCHOOL,AK,wallet chains,accessories,none
27,LATHROP HIGH SCHOOL,AK,safety pins,accessories,none
28,LATHROP HIGH SCHOOL,AK,earrings connected to nose ring,accessories,none
29,MILTON HIGH,WI,wallet chains,accessories,none
30,SOUTHERN COLUMBIA HS,PA,leg bands,accessories,none
31,SOUTHERN COLUMBIA HS,PA,outside apparel,accessories,none
32,SOUTHERN COLUMBIA HS,PA,outergarments,accessories,none
33,ELKO HIGH SCHOOL,NV,safety pins,accessories,none
34,IRONTON HIGH SCHOOL,OH,wallet chains,accessories,none
35,IRONTON HIGH SCHOOL,OH,knife sheath,accessories,none
36,IRONTON HIGH SCHOOL,OH,hoop piercings except for ears,accessories,none
37,IRONTON HIGH SCHOOL,OH,athletic bags,accessories,none
38,SOUTH JEFFERSON HIGH SCHOOL,NY,wallet chains,accessories,none
39,SOUTH JEFFERSON HIGH SCHOOL,NY,belt chains,accessories,none
40,SIMSBURY HIGH SCHOOL,CT,damaging to property,accessories,none
41,NORTHBRIDGE HIGH,MA,headphones,accessories,none
42,NORTHBRIDGE HIGH,MA,wallet chains,accessories,none
43,NORTHBRIDGE HIGH,MA,backpacks,accessories,none
44,LOUISIANA HIGH,MO,wallet chains,accessories,none
45,BUTLER HIGH SCHOOL,OH,robe,accessories,none
46,BUTLER HIGH SCHOOL,OH,wallet chains,accessories,none
