index,School.Name,School.State.Abbreviation,limits,length,inches
0,RUSK H S,TX,dresses,top of the kneecap,
1,RUSK H S,TX,skirts,top of the kneecap,
2,RUSK H S,TX,shorts,top of the kneecap,
3,MAY-PORT CG HIGH SCHOOL,ND,dresses,shorter than x inches from knee,3
4,MAY-PORT CG HIGH SCHOOL,ND,skirts,shorter than x inches from knee,3
5,MAY-PORT CG HIGH SCHOOL,ND,shorts,shorter than x inch inseam,5
6,EAST HIGH,UT,skirts,shorter than fingertips,
7,EAST HIGH,UT,shorts,shorter than fingertips,
8,NORTH FORT MYERS HIGH SCHOOL,FL,dresses,shorter than the knee,
9,NORTH FORT MYERS HIGH SCHOOL,FL,skirts,shorter than the knee,
10,NORTH FORT MYERS HIGH SCHOOL,FL,shorts,shorter than the knee,
11,TOMAHAWK HIGH,WI,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
12,PRIOR LAKE HIGH SCHOOL,MN,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
13,PRIOR LAKE HIGH SCHOOL,MN,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
14,OOLOGAH-TALALA HS,OK,dresses,shorter than x inches from knee,6
15,OOLOGAH-TALALA HS,OK,skirts,shorter than x inches from knee,6
16,OOLOGAH-TALALA HS,OK,shorts,shorter than x inches from knee,6
17,JUDITH GAP HIGH SCHOOL,MT,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
18,JUDITH GAP HIGH SCHOOL,MT,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
19,LA FERIA H S,TX,shorts,shorter than x inches from knee,3
20,GLASGOW HIGH SCHOOL,MT,dresses,"""short""/""inappropriate length"" (no exact measurement given)",
21,GLASGOW HIGH SCHOOL,MT,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
22,OAKDALE HIGH,MD,pants,shorter than mid-thigh,
23,OAKDALE HIGH,MD,skirts,shorter than mid-thigh,
24,OAKDALE HIGH,MD,shorts,shorter than mid-thigh,
25,FONDA-FULTONVILLE SENIOR HIGH SCHOOL,NY,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
26,FONDA-FULTONVILLE SENIOR HIGH SCHOOL,NY,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
27,TEAGUE H S,TX,dresses,shorter than x inches from knee,4
28,TEAGUE H S,TX,skirts,shorter than x inches from knee,4
29,TEAGUE H S,TX,shorts,shorter than x inches from knee,4
30,ARCADIA HIGH SCHOOL,NY,dresses,shorter than fingertips,
31,ARCADIA HIGH SCHOOL,NY,skirts,shorter than fingertips,
