index,schoolName,state,sanction,offense
0,JULIAN HIGH,CA,attend Saturday school,3rd
1,CARROLLTON HIGH SCHOOL,GA,attend Saturday school,2nd
2,RANCHO BUENA VISTA HIGH,CA,attend Saturday school,2nd
3,SHADOW HILLS HIGH,CA,attend Saturday school,3rd
4,ATASCADERO HIGH,CA,attend Saturday school,Any
5,RUSSELL HIGH,KS,attend Saturday school,3rd
6,ALISO NIGUEL HIGH,CA,attend Saturday school,4th
7,QUARTZ HILL HIGH,CA,attend Saturday school,3rd
8,MARION L STEELE HIGH SCHOOL,OH,attend Saturday school,Any
9,NORTHWEST CABARRUS HIGH,NC,attend Saturday school,4th
10,MARLIN H S,TX,attend Saturday school,Any
11,SEQUOYAH HS,OK,attend Saturday school,1st
12,SEQUOYAH HS,OK,attend Saturday school,3rd
13,HAMILTON HIGH SCHOOL,AZ,campus community service,Any
14,HICKSVILLE HIGH SCHOOL,NY,change clothes,Any
15,PRIOR LAKE HIGH SCHOOL,MN,change clothes,Any
16,LA FERIA H S,TX,change clothes,Any
17,OAKDALE HIGH,MD,change clothes,Any
18,BARNES COUNTY NORTH HIGH SCHOOL,ND,change clothes,Any
19,FONDA-FULTONVILLE SENIOR HIGH SCHOOL,NY,change clothes,Any
20,MOHONASEN SENIOR HIGH SCHOOL,NY,change clothes,Any
21,DODGEVILLE HIGH,WI,change clothes,Any
22,TEAGUE H S,TX,change clothes,Any
23,RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL,NY,change clothes,Any
24,NORTHGLENN HIGH SCHOOL,CO,change clothes,1st
25,ANAMOSA HIGH SCHOOL,IA,change clothes,1st
26,ANAMOSA HIGH SCHOOL,IA,change clothes,2nd
27,ANAMOSA HIGH SCHOOL,IA,change clothes,3rd
28,ANAMOSA HIGH SCHOOL,IA,change clothes,4th
29,RIO RANCHO HIGH,NM,change clothes,1st
30,RIO RANCHO HIGH,NM,change clothes,2nd
31,RIO RANCHO HIGH,NM,change clothes,3rd
32,CARMEL HIGH SCHOOL,NY,change clothes,Any
33,BREMOND H S,TX,change clothes,1st
34,ROBERTSDALE HIGH SCH,AL,change clothes,Any
35,LATHROP HIGH SCHOOL,AK,change clothes,1st
36,BEGGS HS,OK,change clothes,1st
37,BEGGS HS,OK,change clothes,2nd
38,BEGGS HS,OK,change clothes,3rd
39,BEGGS HS,OK,change clothes,4th
40,BELTON H S,TX,change clothes,1st
41,MILTON HIGH,WI,change clothes,Any
42,SOUTHERN COLUMBIA HS,PA,change clothes,1st
43,SOUTHERN COLUMBIA HS,PA,change clothes,2nd
44,ELSBERRY HIGH,MO,change clothes,Any
45,PORT JERVIS SENIOR HIGH SCHOOL,NY,change clothes,Any
46,LONGMONT HIGH SCHOOL,CO,change clothes,1st
47,ELKO HIGH SCHOOL,NV,change clothes,1st
48,ELKO HIGH SCHOOL,NV,change clothes,2nd
49,ELKO HIGH SCHOOL,NV,change clothes,3rd
