index,schoolName,stateAbb,locale,totalStudents
0,HICKSVILLE HIGH SCHOOL,NY ,21-Suburb: Large,1754
1,RUSK H S,TX ,41-Rural: Fringe,597
2,MAY-PORT CG HIGH SCHOOL,ND ,43-Rural: Remote,142
3,EAST HIGH,UT ,12-City: Mid-size,1923
4,NORTH FORT MYERS HIGH SCHOOL,FL ,21-Suburb: Large,1673
5,TOMAHAWK HIGH,WI ,32-Town: Distant,418
6,PRIOR LAKE HIGH SCHOOL,MN ,21-Suburb: Large,2562
7,OOLOGAH-TALALA HS,OK ,42-Rural: Distant,563
8,JUDITH GAP HIGH SCHOOL,MT ,43-Rural: Remote,6
9,LA FERIA H S,TX ,22-Suburb: Mid-size,953
10,GLASGOW HIGH SCHOOL,MT ,41-Rural: Fringe,246
11,OAKDALE HIGH,MD ,22-Suburb: Mid-size,1229
12,BARNES COUNTY NORTH HIGH SCHOOL,ND ,43-Rural: Remote,85
13,FONDA-FULTONVILLE SENIOR HIGH SCHOOL,NY ,41-Rural: Fringe,404
14,MOHONASEN SENIOR HIGH SCHOOL,NY ,21-Suburb: Large,946
15,DODGEVILLE HIGH,WI ,32-Town: Distant,412
16,TEAGUE H S,TX ,33-Town: Remote,415
17,ARCADIA HIGH SCHOOL,NY ,21-Suburb: Large,1144
18,RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL,NY ,31-Town: Fringe,582
19,NORTHGLENN HIGH SCHOOL,CO ,21-Suburb: Large,1923
20,PARK VISTA COMMUNITY HIGH SCHOOL,FL ,21-Suburb: Large,3035
21,LATHROP HIGH,CA ,41-Rural: Fringe,1261
22,DEL MAR HIGH,CA ,11-City: Large,1167
23,ANAMOSA HIGH SCHOOL,IA ,32-Town: Distant,384
24,RIO RANCHO HIGH,NM ,21-Suburb: Large,2387
25,TACONIC HIGH,MA ,13-City: Small,731
26,LATTA HS,OK ,41-Rural: Fringe,213
27,BROOKFIELD HIGH,MO ,41-Rural: Fringe,298
28,CARMEL HIGH SCHOOL,NY ,21-Suburb: Large,1434
29,BREMOND H S,TX ,43-Rural: Remote,151
30,JULIAN HIGH,CA ,42-Rural: Distant,157
31,RED RIVER HIGH SCHOOL,ND ,13-City: Small,1141
32,ROBERTSDALE HIGH SCH,AL ,31-Town: Fringe,1369
33,LATHROP HIGH SCHOOL,AK ,13-City: Small,1040
34,ATHOL HIGH,MA ,31-Town: Fringe,358
35,SAVAGE HIGH SCHOOL,MT ,43-Rural: Remote,36
36,BEGGS HS,OK ,42-Rural: Distant,351
37,BELTON H S,TX ,23-Suburb: Small,2711
38,MILTON HIGH,WI ,23-Suburb: Small,1075
39,SOUTHERN COLUMBIA HS,PA ,41-Rural: Fringe,409
40,COMO PARK SENIOR HIGH,MN ,11-City: Large,1307
41,ELSBERRY HIGH,MO ,42-Rural: Distant,232
42,PORT JERVIS SENIOR HIGH SCHOOL,NY ,41-Rural: Fringe,827
43,LONGMONT HIGH SCHOOL,CO ,23-Suburb: Small,1188
44,ELKO HIGH SCHOOL,NV ,33-Town: Remote,1295
45,IRONTON HIGH SCHOOL,OH ,22-Suburb: Mid-size,396
46,SOUTH JEFFERSON HIGH SCHOOL,NY ,41-Rural: Fringe,611
47,SIMSBURY HIGH SCHOOL,CT ,21-Suburb: Large,1423
48,WINDTHORST H S,TX ,42-Rural: Distant,168
49,NORTHBRIDGE HIGH,MA ,21-Suburb: Large,605
50,DEPEW HIGH SCHOOL,NY ,21-Suburb: Large,594
51,AMSTERDAM HIGH SCHOOL,NY ,41-Rural: Fringe,1125
52,BARBERS HILL H S,TX ,41-Rural: Fringe,1501
53,LOUISIANA HIGH,MO ,33-Town: Remote,204
54,BUTLER HIGH SCHOOL,OH ,21-Suburb: Large,971
55,GATEWAY HIGH SCHOOL,CO ,11-City: Large,1803
56,PINE BUSH SENIOR HIGH SCHOOL,NY ,41-Rural: Fringe,1754
57,COE-BROWN NORTHWOOD ACADEMY,NH ,42-Rural: Distant,701
58,DAWSON HIGH SCHOOL,MT ,33-Town: Remote,389
59,ELEANOR ROOSEVELT HIGH SCHOOL,NY ,11-City: Large,555
60,HINTON HS,OK ,43-Rural: Remote,162
61,GIRARD HS,PA ,22-Suburb: Mid-size,564
62,HUNTLEY PROJECT HIGH SCHL,MT ,42-Rural: Distant,262
63,FRUITVALE H S,TX ,42-Rural: Distant,127
64,DARLINGTON HIGH,WI ,43-Rural: Remote,217
65,MOUNDS HS,OK ,41-Rural: Fringe,180
66,HOWE HS,OK ,32-Town: Distant,194
